AIMARA,ESPAÑOL,INGLES
Wasurux kuna urunsa?,¿Ayer que días era?,What day was it yesterday?
Wasurux saxra urunwa kullaka,Ayer era martes hermana,Yesterday was Tuesday sister
Kuna pachasa kullaka?,¿Qué hora es?,What time is it?
Suxta alwat pä tunka k’atanakaw saraqxi kullaka,Son las 6:20 de la manañana,It's 6:20 in the morning
Qharurkam kullaka Edyth,Hasta mañana hermana Edyth,See you tomorrow sister Edyth
Qharurkamay kullaka Patricia,Hasta mañana hermana Patricia,See you tomorrow sister Patricia
kullaka aski urukïpan,Hermana buen día,good day sister
Aski urukïpanay kullaka. Kunjamasktasa kullaka?,Buen día hermana. ¿Cómo estás herman?,Good morning sister. how are you brother
Nayax janiw walikti,Yo no estoy bien,I am not well
Kunata? Llakitatati? Usutatati?,¿Por qué? ¿Estás de pena? ¿Estás enferma?,Why? Are you sad? Are you sick?
"P’iqijaw usutu, qullasisktwa. Jumasti kunjamasktasa? Kawkirus saraskta?","Mi cabeza me duele, me estoy curando. ¿Y tú cómo estás? ¿Dónde estás yendo?","My head hurts, I'm healing. And how are you? Where are you going?"
"Nayax walikisktwa, wankuruw sarasktha. Kullaka, tatamax kuna sutinisa? Oruronkiriti?","Yo estoy bien, al banco estoy yendo. ¿Hermana cómo se llama tu papá? ¿Es de Oruro?","I'm fine, I'm going to the bank. Sister, what's your dad's name? Are you from Oruro?"
"Tatajan sutipax Quintin Pomawa, janiw Orurotakiti, jupax Wat’ankiriwa. Kullaka qawqha maranitasa? Achilamax kuna phaxsinsa jiwi?","Mi papá se llama Quintín Poma, el no es de Oruro, el es de Wata. ¿Hermana cuántos años tienes? ¿Tu abuelo en que mes a muerto?","My dad's name is Quintín Poma, he's not from Oruro, he's from Wata. Sister how old are you? Your grandfather died in what month?"
"Nayax phisqa tunka pusini maranitwa. Achchilajax anata phaxsin jiwxi, Kullaka kuna phaxsinktansa? Kuna phaxsinsa ch’uqi yapuchäta?",Yo tengo 54 años. Mi abuelo ha fallecido en ebrero. ¿Hermana en qué mes estamos? ¿En qué mes vas a sembrar papa?,"I am 54 years old. My grandfather passed away in February. Sister, what month are we in? In what month are you going to plant potatoes?"
Taypi sata phaxsinktanwa. Lapaqa phaxsina yapuchä. Maria kunurus phuchhamax markaparu sarani? Khitinpis sarani?,Estamos en octubre. En noviembre sembraré. ¿María qué día tu hija irá a su pueblo? ¿Con quién irá?,"We are in October. In November I will plant. María, what day will your daughter go to her town? Who will he go with?"
Jupax ñanqha uruw sarani. Tatapampiw sarani,Ella irá el viernes. Con su papá irá,She will go on Friday. He will go with his father
Jupanakax kuna pachas sarapxani?,¿Ellos a qué hora irán?,What time will they go?
Jupanakax tunka alwat tunka phisqani k’atanakampi saraqkipanwa sarapxani,Ellos irán a las 10:15 de la mañana,They will go at 10:15 in the morning
Kunatakis sarapxani?,¿Para qué van a ir?,What are they going for?
"Iwijampi, wank’umpi, juyranakampi alasiriw sarapxani","Ellos irán a comprar oveja, conejo y alimentos","They will go buy sheep, rabbit and food"
"Kullaka uñtam kurmirirakis mistuskija, kuna samininakanisa?","Hermana mira el arcoíris está saliendo, ¿qué colores tiene?","Sister look the rainbow is coming out, what colors does it have?"
"Wilampi, churimpi, qillumpi, ch’uxñampi, laramampi, janqu laramampi, murturiyampi, uka samininakaniwa","Rojo, anaranjado, amarrillo, verde, azul, celeste, morado esos colores tiene","Red, orange, yellow, green, blue, light blue, purple those colors have"
"Maria jayp’urakixisa, sarantjañani. Ipalaslayku jutatapï","María ya es tarde, vámonos. Por la tía vas a venir siempre","Maria, it's late, let's go. For the aunt you will always come"
"Jisa jutaskawa, jutir phaxsikam kullaka","Sí, voy a estar veniendo, hasta el siguiente mes hermana","Yes, I will be coming, until next month sister"
Jutir phaxsikamay kullaka,Hasta el siguiente mes hermana,See you next month sister
Aski urukïpan Kullakanaka,Buenos días hermanas,good morning sisters
Aski urukïpanay jilata,Buenos días hermano,Good morning brother
Aski urukïpanay jilata,Buenos días hermano,Good morning brother
Kunjamasktasa jilata?,¿Cómo estás hermano?,How are you brother?
Walikistwa,Estoy bien,I'm good
Juman sutimax kunasa jilata?,¿Cuál es tu nombre hermano?,What is your name brother?
Nayan sutijax Máximo,Mi nombre es Máximo,my name is max
Jumansti Kullaka?,¿Y de vos hermana?,And what about you sister?
Nayan sutijax Clementinawa,Mi nombre es Clementina,My name is Clementine
"Jumansti kullaka, kunas sutimax?","¿De vos hermana, cuál es tu nombre?","Of you sister, what is your name?"
Nayan sutijax Luz Karinawa,Mi nombre es Luz Karina,My name is Luz Karina.
Kullaka Luz qawqha maranitasa?,¿Cuántos años tienes hermana Luz?,"How old are you, Sister Luz?"
Nayax pä tunka payani maranitwa,Yo tengo 22 años,I'm 22 years old
Jumax jilata Maximo kawkitatasa?,¿De dónde eres hermano Máximo?,Where are you from brother Máximo?
Nayax Alto patatatwa,Yo soy de El Alto,I am from El Alto
Jumax kullaka kuna luriritasa?,¿Cuál es tu ocupación hermana?,What is your occupation sister?
"Nayax arxatiritwa, mä institucion publica ukana irnaqasktha","Yo soy abogada, trabajo en una Institución Pública","I am a lawyer, I work in a Public Institution"
Jumasti jilata Maximo kuna luriritasa?,"¿Y tú, a qué te dedicas hermano Máximo?","And you, what do you do, brother Máximo?"
Nayax askichiritwa,Yo soy mecánico,I am a mechanic
Jumasti kullaka Clementina qawqha jilanitasa?,"¿Y tú, cuántos hermanos tienes hermana Clementina?","And you, how many siblings do you have, Sister Clementina?"
Nayax kimsa jilanitwa,Yo tengo 3 hermanos,I have 3 brothers
"Kullaka, jilir jilamax uywaniti?","Hermana, ¿tu hermano mayor tiene animales?","Sister, does your older brother have animals?"
"Jisa, jiljax mä k’allaniwa, sutipax Poli satawa","Sí, mi hermano tiene un loro, su nombre es Poli","Yes, my brother has a parrot, his name is Poli"
Chiqati? Jiwitakirakiw sutipax kullaka,¿En serio? Bonito también es su nombre hermana,Really? Bonito is also his name sister
K’allapax kuna saminisa?,¿De qué color es su loro?,What color is your parrot?
"Wilampi, q’illumpi, ch’uxñampi saminiwa","Es de color rojo, amarillo y verde","It is red, yellow and green"
Wiphalan samiparakisa,De la bandera su color también es,Of the flag its color is also
"Kullaka Luz, wasurux kawkirusa sarta?","Hermana Luz, ¿Ayer a dónde has ido?","Sister Light, where did you go yesterday?"
Mä tantachawiruwa sartha,He ido a una reunión,i went to a meeting
Khitimpiraki sartasti?,¿Con quién has ido?,With whom have you gone?
Jilïr irpirijampiw sartha,He ido con mi jefe,I have gone with my boss
Kullaka Luz kuna phaxsinktansa?,¿En qué mes estamos hermana Luz?,What month are we sister Luz?
Taypi sata phaxsinktanwa. Qharüru phaxsix tukuyxiwa,Estamos en el mes de octubre. Mañana acaba el mes,We are in the month of October. tomorrow ends the month
"Jilata Maximo, jumax t’ant’a lurtati?","Hermano Máximo, ¿has hecho pan?","Brother Máximo, have you made bread?"
Janiraw lurkti,Todavía no he hecho,I haven't done yet
Kuna urusa luräta?,¿Qué día harás?,What day will you do?
Qharayp’uw nayax lurä,Mañana en la tarde yo haré,Tomorrow afternoon I will
Kullaka Clementina kuna urusa?,Herman Clementina ¿Qué día es?,Herman Clementina What day is it?
Jichhurux samaña uruwa. Nayax qhathuruw sarasktha,Hoy es domingo. Yo estoy yendo a la feria,Today it is Sunday. I am going to the fair
Kunarus saraskta qhathuru?,¿A qué estás yendo a la feria?,Why are you going to the fair?
Juyranaka alaqasiriw sarasktha,Estoy yendo a comprar alimentos,I am going to buy food
Kunanaks alanita?,¿Qué cosas vas a comprar?,What things are you going to buy?
"Jupha, ulluku, ch’uqi, apilla, tunqu, phiriyu, aycha, k’anwa","Quinua, papalisa, papa, oca, maíz, fideo, carne y huevo","Quinoa, papalisa, potato, goose, corn, noodles, meat and egg"
Kullaka Luz ukax kunasa?,¿Qué es eso hermana Luz?,What is that sister Luz?
Akax chäkawa,Esto es caña,this is cane
Kunatakisa?,¿Para qué es?,What is it for?
Risañatakiwa,Es para rezar,is to pray
Jilata Maximo kunas ustam?,¿Qué te duele hermano Máximo?,What hurts brother Máximo?
Wich’u k’iliw usutu,Me duele la columna,my spine hurts
Qulliriwkar sarañamawa,Tienes que ir donde el médico,You have to go to the doctor
Jisa kullaka Clementina,Sí hermana Clementina,Yes sister Clementine
Qullasitaw jilata. Jan llakisimpti,Te vas a curar hermano. No tengas pena,You will heal brother. don't be sorry
"Pä waranqa pätunka payani marana, nayax phuchajaruw sutiyä","El año dos mil veintidós, bautizaré a mi hija","The year two thousand and twenty-two, I will baptize my daughter"
Yatiyitatapï,Avisas pues,You warn then
Jutatapï,Vas a venir pues,you will come then
Kullaka kuna pachasa?,¿Qué hora es hermana?,What time is it sister?
Tunka mayani alwat kimsa tunka k’atanakaw saraqxi,Es las 11:30 de la mañana,It's 11:30 in the morning
Jayp’uxiwa sarxañäni kullakanaka,Ya es tarde vamonos hermanas,It's late let's go sisters
Jikisiñkam jilata,Hasta luego hermano,See you later brother
Jikisiñkam jilata,Hasta luego hermano,See you later brother
Jikisiñkamay kullakanaka,Hasta luego hermanas,see you later sisters
Aski urukïpan kullaka,Buen día hermana,good morning sister
Aski urukïpanay kullaka,Buen día hermana,good morning sister
Kamisaki kullaka,¿Cómo estás?,How are you?
Waliki kullaka,Bien hermana,good sister
Jumasti,¿Y tú?,And you?
Walikiraki kullaka,Bien también hermana,good too sister
¿Juman sutimax kunasa?,¿Cuál es tu nombre?,What is your name?
Nayan sutijax Angelica Mamani,Mi nombre es Angelica Mamani,My name is Angelica Mamani.
Jumasnti?,¿Y de ti?,And about you?
Nayan sutijax Veronica Mamani Mendozawa,Mi nombre es Veronica Mamani Mendoza,My name is Veronica Mamani Mendoza.
Jumax kuna luriritasa?,¿Cuál es tu ocupación?,What is your occupation?
Nayax yatichiritwa,Yo soy profesora,I'm a teacher
Jumasti kullaka?,¿Y tú hermana?,And your sister?
Nayax jakhuritwa,Yo soy contadora,I am an accountant
Tatamax kuna luririsa?,¿Cuál es la ocupación de tu papá?,What is your father's occupation?
Tatajax qulliriwa,Mi papá es médico,my dad is a doctor
Mamamasti,¿Y tu mamá?,And your mom?
Mamajax qullirirakiwa,Mi mamá también es doctora,My mom is also a doctor
Jumax qawqha maranitasa?,¿Tú cuántos años tienes?,How old are you?
Nayax kimsa tunka pusini maranitwa,Yo tengo 34 años,I am 34 years old
Jumasti,¿Y tú?,And you?
Ukapachparakiwa,Igual,Likewise
Waliki,Bien,Well
Jumax qawqha jilanitasa?,¿Tú cuántos hermanos tienes?,How many brothers do you have?
"Nayax kimsa jilanitwa, ukhamarari pä kullakanitwa",Yo tengo tres hermanos y dos hermanas,I have three brothers and two sisters
Jilanakaman sutinakapax kunasa?,¿Cuál es el nombre de tus hermanos?,What is the name of your brothers?
"Jilatanakajan sutinakapax satawa German, Franz, Alex","Mis hermanos se llaman German, Franz y Alex","My brothers are called German, Franz and Alex"
Kullakanakamansti?,¿Y de tus hermanas?,What about your sisters?
Kullakanakajan sutinakapax Lidia ukhamaraki Veronicawa,Mis hermanas se llaman Lidia y Verónica,My sisters are called Lidia and Veronica.
Jumax kawkitatasa,¿Tú de dónde eres?,Where are you from?
Nayax pandotatwa,Yo soy de pando,I'm from panda
Jumasti,¿Y tú?,And you?
Nayax Altopatatwa,Yo soy de El Alto,I am from El Alto
Jumax uywanitati?,¿Tú tienes animales?,You have animals?
Jisa uywanitwa,"Sí, tengo animales",yes i have animals
Kuna uywanitasa?,¿Qué animales tienes?,What animals do you have?
Nayax mä phisinitwa,Tengo un gato,I have a cat
Phisimax kuna sutinisa?,¿Tu gato que nombre tiene?,What's your cat's name?
Pepona satawa,Su nombre es pepona,his name is pepona
Jiwakiw sutipaja,Bonito su nombre,nice your name
Jisa,si,Yes
Kawkinkis phisimaxa?,¿Dónde está tu gato?,Where is your cat?
Phisijax utankiwa,Mi gato está en mi casa,my cat is in my house
Phisimax kuna saminisa?,¿De qué color es tu gato?,What color is your cat?
"Phisijax janq’umpi, ch’iyarampiwa",Mi gato es blanco y negro,my cat is black and white
Kawkirus sarañani?,¿Dónde vamos a ir?,Where are we going?
Utaru sarañani,Vamos a la casa,Let's go home
Uka jila uñtam,Mira a ese hermano,look at that brother
Jilamati?,¿Es tu hermano?,Is your brother?
Janiw jilajakiti,No es mi hermano,He is not my brother
Sarantañani kullaka,Vamos hermana,come on sister
Jisa sarañani,Si vamos,Yeah come on
Thuqhuñäniwa,Vamos a bailar,Let's Dance
Kuns thuqhuñani?,¿Qué vamos a bailar?,What are we going to dance?
Morenada thuqhuñani,Vamos a bailar morenada,let's dance brunette
Jakkasawa thuqhuña,Viviendo hay que bailar,living you have to dance
Jikisiñkam kullaka,Hasta luego hermana,see you later sister
Jikisinkamay kullaka,Hasta luego hermana,see you later sister
Aski urukïpan kullaka,Buenos días hermana,Good morning sister
Aski urukïpanay kullaka,Buenos días hermana,Good morning sister
Juman sutimax kunasa,¿Cómo te llamas?,What's your name?
"Nayan sutijax Lizeth Quispe Poma, jumansti?","Mi nombre es Lizeth Quispe Poma, ¿y tú cómo te llamas?","My name is Lizeth Quispe Poma, and what is your name?"
Nayan sutijax Pamela Ibañez Velasco,Mi nombre es Pamela Ibañez Velasco,My name is Pamela Ibanez Velasco.
Qhawqha maranitasa?,¿Cuántos años tienes?,How old are you?
"Nayax kimsa tunka kimsaqallquni maranitwa, jumasti?","Yo tengo 38 años, ¿y tú?","I am 38 years old, and you?"
Nayax pä tunka mayani maranitwa,Yo tengo 21 años.,I am 21 years old.
Jumax qhawqha jilanitasa?,¿Cuántos hermanos tienes?,How many brothers you have?
"Nayax pusi jilanitwa, jumansti?","Yo tengo 4 hermanos, ¿y tú?","I have 4 brothers, and you?"
Nayax pä jilanitwa. Qawqha kullakanitasa?,"Yo tengo 2 hermanos, ¿cuántas hermanas tienes?","I have 2 brothers, how many sisters do you have?"
"Nayax phisqa kullakanitwa, jumansti","Yo tengo 5 hermanas, ¿y tú?","I have 5 sisters, and you?"
Nayax janiw kullakanikti. Tatamax qawqha maranisa?,Yo no tengo hermanas. ¿Tu papá cuántos años tiene?,I do not have sisters. How old is your dad?
"Tatajax Phisqa tunka pusini maraniwa, jumansti?",Mi papá tiene 54 años ¿y tu papá?,"My dad is 54 years old, and your dad?"
Nayan tatajax suxta tunka kimsaqallquni maraniwa. Mamamax qawqha maranitasa?,"Mi papá tiene 68 años, ¿y tu mamá cuántos años tiene?","My dad is 68 years old, and how old is your mom?"
"Nayan mamajax pusi tunka llätunkani maraniwa, jumansti?",Mi mamá tiene 49 años ¿y tú mamá?,"My mom is 49 years old, and your mom?"
Mamajax suxta tunka phisqani maraniwa,Mi mamá tiene 65 años,My mom is 65 years old
Jumax kawkitatasa?,¿tú de dónde eres?,where are you from?
"Nayax El Alto markatatwa, jumasti?",Yo soy de la ciudad de Él Alto ¿y tú?,"I am from the city of El Alto, and you?"
Nayax La Paz markatwa. Ichutatamax kawkitasa,Yo soy de la ciudad de La Paz ¿y tu padrino de dónde es?,"I am from the city of La Paz, and where is your godfather from?"
"Ichutatajax Alto markatarakiwa, jumansti?",Mi padrino también es de la ciudad de el Alto ¿y el tuyo?,"My godfather is also from the city of El Alto, and yours?"
Ichutatajax Oruro markatawa.,Mi padrino es de Oruro,My godfather is from Oruro
Waliki. Ichumamamax kawkitasa?,"Bien, ¿y tu madrina de dónde es?","Well, and where is your godmother from?"
"Ichumamajax Cochabamba markatawa, jumansti?",Mi madrina es de Cochabamba ¿y la tuya?,"My godmother is from Cochabamba, and yours?"
Nayan ichumamaxa La Paz markatawa,Mi madrina es de la ciudad de La Paz,My godmother is from the city of La Paz
Waliki. Juman urumax kuna phaxsinkisa?,"Bien, ¿En qué mes es tu cumpleaños?","Well, what month is your birthday?"
"Nayan urujax lapaka phaxsinkiwa, jumansti?",Mi cumpleaños es en el mes de noviembre ¿y el tuyo?,"My birthday is in the month of November, and yours?"
Nayan urujax mara t'aqa phaxsinkiwa,Mi cumpleaños es en junio,My birthday is in June
Jichhax kuna phaxsisa?,¿Ahora qué mes es?,What month is it now?
Taypi Sata phaxsiwa,Es mes de octubre,It's October
Kuna urusa?,¿Que día es?,What day is it?
Ñanqha uruwa,Es viernes,It's Friday
Kuna pachasa?,¿Qué hora es?,What time is it?
Suxta alwa pachawa,Son las 06:00 de la mañana,It's 06:00 in the morning
Jumax kuns luraskta?,¿Tú qué estas haciendo?,What are you doing?
"Nayax junt'uma umasktha, jumasti","Yo estoy tomando te, ¿y tú?","I'm drinking tea, and you?"
Nayaxa wallpa kaltu phayasktha,Yo estoy cocinando sopa de pollo,I am cooking chicken soup
"Waliki, kunanakas munsasi phayañataki?","Que bien, ¿qué se necesita para cocinar?","Great, what do you need to cook?"
"Munasiwa wallpa aycha, ch'uqi, ch'uxña achunaka","Se necesita carne de pollo, papa y verduras","Chicken meat, potato and vegetables are needed"
Wallpa aychan chanipax qawqhasa?,¿La carne de pollo a que precio está?,What price is chicken meat?
Wallpa Aychax chanipax kimsa tunkaniwa,El precio de la carne de pollo está a sólo 30,The price of chicken meat is only 30
Akax kunasa?,¿Esto qué es?,What is this?
Ukax kantuta panqarawa,Eso es la flor de la kantuta,That is the flower of the kantuta
Kuna saminisa?,¿De qué color es?,What color is it?
"Chupikampi, q’illumpi, chuxñampiwa","Es de color rojo, amarillo y verde","It is red, yellow and green"
Kunas ustam?,¿Qué te duele?,What hurts you?
P'iqiw usutu,Me duele la cabeza,I have a headache
Kunarsarts ustam?,¿Desde cuándo te duele?,Since when does it hurt?
Wasuruta,Desde ayer,Since yesterday
Waliti ustam?,¿Te duele mucho?,Does it hurt a lot?
Waliw usutu,Me duel mucho,it hurts a lot
Suma uñjasita kullaka. Jikisiñkama,Te vas a cuidar bien hermana. Hasta luego,You're going to take good care of yourself sister. Bye
Jikisiñkamay kullaka,Hasta luego hermana,see you later sister
Aski urukïpan kullaka,Buen día hermana,good morning sister
Aski urukïpanay jilata,Buen día hermano,Good day brother
Kunsatatasa kullaka?,¿Qué te llamas hermana?,What is your name sister?
"Nayax Teodora sutinitwa, jumasti kunas sutimaxa?","Mi nombre es Teodora, ¿y de ti cuál es tu nombre?","My name is Teodora, and what is your name?"
"Waliki kullaka Teodora, nayan sutijax sandruwa","Bien hermana Teodora, mi nombre es Sandro","Well sister Teodora, my name is Sandro"
Kunansa irnaqta kullaka Teodora?,¿En qué trabajas hermana Teodora?,"What do you do, sister Teodora?"
"Nayax yatichiritwa, jumasti?","Yo soy profesora, ¿y tú?","I am a teacher, and you?"
"Waliki kullaka, nayax yatichirirakitwa","Bien hermana, yo también soy profesor","Well sister, I am also a teacher"
Kawkinsa qamta kullaka?,¿Dónde vives hermana?,Where do you live sister?
"Nayax Oruro markatatwa, jumasti kawkisa qamta?","Yo soy de Oruro, ¿y tú dónde vives?","I am from Oruro, and where do you live?"
Nayax alto La Paz markanwa qamtha. Jumasti jilanakanitati?,Yo vivo en el alto La Paz. ¿Y tú tienes hermanos?,I live in upper La Paz. And you have brothers?
"Jisa pusi jilanitwa, jumasti?","Sí, tengo 4 hermanos, ¿y tú?","Yes, I have 4 brothers, and you?"
"Nayax mä jilani pusi kullakanitwa, pä jilaniyatwa mä jilajax jiwxiwa","Yo tengo 1 hermano y 4 hermanas, tenía 2 hermanos, pero uno murió","I have 1 brother and 4 sisters, I had 2 brothers, but one died"
Kuna pachasa kullaka?,¿Qué hora es hermana?,What time is it sister?
Paqallku arumat tunka k’atanakaw saraqxi,Son las 7: 10 de la noche,It's 7:10 at night
"Waliki kullaka, Oruro markan kuna manq’anakas utji?","Bien hermana, ¿en Oruro que comidas hay?","Well sister, in Oruro what foods are there?"
"Utjiwa charkikan, suma muqsawa","Hay charquekan, es bien rico","There is charquekan, it is very rich"
Kunjamas uka manq ́ax phayaña?,¿Cómo se cocina esa comida?,How is that food cooked?
"Aka manq’ax phayañawa, qarwa aycha thixitampi,tunqumpi, ch ́uqimpi, qhathiyat k ́awnampi, ah ukat millk’i tikampi","Esta comida se cocina con carne de llama frito, maíz, papa y huevo cocido, ah y con su queso","This meal is cooked with fried llama meat, corn, potato and boiled egg, oh and with its cheese"
¡Suma muxsarakisä uka manq’axa!,Que rico es esa comida!,How rich is that food!
Jumax uywanakanitati?,¿Tú tienes animales?,You have animals?
Jisa uywanitwa,"Sí, tengo animales",yes i have animals
Kuna uywanitasa?,¿Qué animales tienes?,What animals do you have?
"Utjituwa mä phisimpi, pä anumpi",Tengo 1 gato y 2 perros,I have 1 cat and 2 dogs
Nayax mä jisk’a anunitwa,Yo tengo un pequeño perro,I have a small dog
"Kuna saminakanisa phisimampi, anunakamampixa?",¿Tu gato y tus perros de qué color son?,What color are your cat and your dogs?
"Pä anujax ch’iyarawa, phisijax janq’umpi ch umphimpiwa",Mis dos perros son negros y mi gato es blanco con café,My two dogs are black and my cat is white with brown.
Jisk’a anumax kuna saminisa?,¿Tu pequeño perro de qué color es?,What color is your little dog?
Nayan jisk’a anujax chümphi samiwa,Mi pequeño perro es de color café,My little dog is brown
Wasurux kuna urunsa?,¿Qué día era ayer?,What day was yesterday?
Wasurux pacha urunwa,Ayer era miércoles,yesterday was wednesday
Kuna phaxsinsa yurta?,¿En qué mes has nacido?,In what month were you born?
"Llamayu phaxina, jumasti?","En el mes de mayo, ¿y tú?","In the month of May, and you?"
Nayax taypi sata phaxsina yuritatwa,Yo nací en el mes de octubre,I was born in the month of October
"Kunatas jachaskta, kunas ustam?","¿Por qué estas llorando, qué te duele?","Why are you crying, what hurts?"
Kayuw usutu,Me duele el pie,My foot hurts
Jumarux kunas ustam?,¿A ti que te duele?,What hurts you?
Nayarux jikhaniw usutu,A mi me duele la espalda,My back hurts
Kunjams ustam?,¿Cómo te duele?,How does it hurt?
"Mä juk'akiw usutu, pelot anatas usuchastha","Me duele un poco, me lastimé jugando fútbol","It hurts a little, I hurt myself playing soccer"
Kunarsats ustam?,¿Desde cuándo te duele?,Since when does it hurt?
Jichha arumatak usutu,Desde esta noche no más me ha dolido,Since tonight it has hurt me no more
Jumasti kunjamats kayu usuchasta?,"¿Y tú, como te lastimarte tu pie?","And you, how did you hurt your foot?"
Anuw kayu achuqitu,El perro me mordio el pie,The dog bit my foot
"Janiw walikiti ukaxa, qullirir sarañamawa qullayasiri","No está bien eso, tienes que ir al doctor a hacerte curar","That's not right, you have to go to the doctor to get cured"
"Jisa, qullir utaru sarä",Entonces iré al doctor,then i will go to the doctor
"Waliki kullaka, qullayasir saram. Yaqha urkama","Bien hermana, anda a hacerte curar. Hasta otro día","Well sister, go make yourself heal. Until another day"
Jikinsiñkam jilata,Hasta luego hermano,See you later brother
Jikisiñkamay kullaka,Hasta luego hermana,see you later sister
Aski urukïpan kullaka,Buen día hermana,good morning sister
Aski urkïpanay jilata,Buenos días hermano,Good morning brother
Kuna pachasa?,¿Qué hora será?,What time will it be?
Llätunka alwat patunka phisqha k’atakaw saraqxi,Son las 9:25 de la mañana,It's 9:25 in the morning
"Ukhamax walisa, jichaw Potosí markaru k’añaskux mistuskani","Entonces está bien, recién va salir el bus a Potosí","So that's fine, the bus to Potosí is just going to leave"
"Nayax Tiburcio satatwa, jumasti kunas sutimaxa?","Yo me llamo Tiburcio, ¿y tú cómo se llamas?","My name is Tiburcio, and what's your name?"
Nayan sutijax Martinawa,Yo me llamo Martina,My name is Martina
Kawkirus sarxarasta?,¿Dónde está viajando?,Where are you traveling?
Nayax Potosímarkaruw sarxarusktha,Yo estoy viajando a Potosí,I am traveling to Potosi
Ukhamax chikay sarxaruñani,Entonces vamos a viajar juntos,So let's travel together
Kunarus sarxarusta Potosïru?,¿Y cuál es motivo de tu viaje a Potosí?,And what is the reason for your trip to Potosí?
"Jilajar uñjiriw sarasktha, usuchjasitanawa","Voy a ver a mi hermano, se había accidentado","I'm going to see my brother, he had an accident"
Jilamax kunats usuchjasitana?,¿De qué se accidento tu hermano?,What happened to your brother?
Jaraphi p’akjasitana,Se había fracturado su costilla,He had fractured his rib
Qullañ utakiti?,¿Está en el hospital?,He Is he in the hospital?
"Jisa, qullañ utakiwa","Sí, esta en el hospital","Yes, he is in the hospital"
Qawqha maranisa jilamaja?,¿Qué edad tiene tu hermano?,How old is your brother?
"Pä tunka payani maraniwa, sullka jilajawa","Tiene 22 años, es mi hermano menor","He is 22 years old, he is my younger brother"
"Jan llakisimti, jank’akiw waliptani waynaskiwa","No tengas pena, se recuperará pronto es joven","Don't be sorry, he will recover soon he is young"
Jumasti kunarus sarxarusta Potosïru?,¿Y tú a qué estas viajando a Potosí?,And why are you traveling to Potosí?
Qhuyan irnaqiritwa,Soy trabajador de la mina,I am a mine worker
Qhuyanchutati?,¿Eres minero?,Are you a miner?
"Janiwa, nayax Ingeniero mensuristatawa","No, soy Ingeniero Mensurista","No, I'm a Measurement Engineer"
Qawqha pachas khayankäta?,¿Cuánto tiempo estarás por allá?,How long will you be there?
Khayankawa pä pachananakampi phisqha urunakampi,Voy estar por dos semanas y cinco días,I will be for two weeks and five days
"Nayax jurpuruw kutt’anixa, urujatakix akankañatwa","Yo regresare pasado mañana, para mis cumpleaños tengo que estar aquí","I will return the day after tomorrow, for my birthdays I have to be here"
Kunarsas urumaxa?,¿Cuándo es tu cumpleaños?,When is your birthday?
Lapaqa phaxit pä uru saraqatana,Es el 2 de noviembre,It's November 2
Qawqha mars phuqhata?,¿Cuántos años vas a cumplir?,How old are you going to be?
"Phuqhaw pä tunka phisqhani maranaka, jumasti qhawqa maranitasa?","Cumpliré 25 años, ¿y tú cuantos años tienes?","I will be 25 years old, and how old are you?"
Nayax pä tunka paqallquni maranitwa,Yo tengo 27 años,I am 27 years old
Warminitati?,¿Tienes esposa?,Do you have a wife?
"Janiraw warminikti, jumasti wilamasinitati?","Aún no, ¿y tú tienes familia?","Not yet, and do you have a family?"
"Janirakiwa, sapakistwa","Tampoco, sigo sola","Neither, I'm still alone"
Qawqha jilanitasa?,¿Cuántos hermanos tienes?,How many brothers you have?
"Pä jilanitwa, jumasti?","Tengo dos hermanos, ¿y tú?","I have two brothers, and you?"
"Nayax sapa wawakitwa, khusaspanwa jilaniriskatha ukaxa","Yo soy único hijo, me hubiera guastado tener hermanos","I am an only child, I would have liked to have siblings"
Tatanakamasti?,¿Y tus papás?,And your parents?
"Markajankasipkiwa, iwijanaka uñjasipki","Están en mi pueblo, cuidando las ovejas","They are in my town, taking care of the sheep"
Kuna sutinis markamaxa?,¿Cómo se llama tu pueblo?,What is your town called?
"Markajax Vichayawa, jumasti kawkitatasa?","Mi pueblo es Vichaya, ¿y tú de dónde eres?","My town is Vichaya, and where are you from?"
Nayax Qumanchitatwa,Yo soy de Comanche,I am from Comanche
Mä kutix mamajampiw wayk’a k’iyaña aliriw sarapxtha,Una vez viaje con mi mama para comprar un batan,Once I traveled with my mom to buy a batan
"Jisa markajan wayk’iñanak luraphxi, yaqhanakampi","Sí, en mi pueblo hacen batanes y otras cosas","Yes, in my town they make fulling mills and other things"
"Pachaxaniwa, janira sarxarkasa manq’iri sarañani","Ya va ser hora, mejor vamos a comer antes de viajar","It's about time, we better eat before traveling"
"Jisa walispawa, kunanakas manq’añataki utji akachaqaña?","Sí seria, ¿pero qué hay para comer por aquí?","Yes it would be, but what is there to eat around here?"
Khaya chiqan aljapxiwa suma mani kaltunaka,Por allá venden unas sopas de maní muy ricos,Over there they sell some very tasty peanut soups
Ukhamax sarañani,Entonces vamos,"So, let's go"
"Jisa sarañani, khayjat unjañaniw k’añask puriniri","Sí vamos, desde allí vamos a ver llegar el bus","Yes we go, from there we will see the bus arrive"
Yattati kuna saminisa k’añaskuxa?,¿Sabes de qué color es el bus?,Do you know what color the bus is?
"Jisa, sapxituwa wilampi chujñampiwa","Sí, me dijeron que es de color rojo con verde","Yes, they told me it's red with green"
